,name_in_url,he_count,she_count,name_in_profile
302,james_watson,10,0,James Watson
303,amy_webb,1,7,Amy Webb
304,jherek_bischoff,3,0,Jherek Bischoff
305,marlene_zuk,0,1,Marlene Zuk
306,leyla_acaroglu,0,3,Leyla Acaroglu
307,patrick_chappatte,2,0,Patrick Chappatte
308,opal_tometi,0,8,Opal Tometi
309,geoffrey_west,6,0,Geoffrey West
310,madeleine_albright,0,3,Madeleine  Albright
311,sunni_brown,0,4,Sunni Brown
312,ingrid_betancourt,0,16,Ingrid Betancourt
313,jason_yang,6,0,Jason Yang
314,richard_baraniuk,1,0,Richard Baraniuk
315,chris_urmson,1,0,Chris Urmson
316,john_wooden,15,0,John Wooden
317,munir_virani,2,0,Munir Virani
318,nick_bostrom,2,0,Nick Bostrom
319,gretchen_carlson,0,6,Gretchen Carlson
320,maya_beiser,0,0,Maya Beiser
321,william_ury,9,0,William Ury
322,skylar_tibbits,4,0,Skylar Tibbits
323,audrey_choi,0,4,Audrey Choi
324,sebastian_wernicke,6,0,Sebastian Wernicke
325,chieko_asakawa,0,2,Chieko Asakawa
326,alexander_tsiaras,2,0,Alexander Tsiaras
327,dianna_cohen,0,3,Dianna Cohen
328,tim_brown,0,0,Tim Brown
329,vint_cerf,7,0,Vint Cerf
330,stephen_cave,1,0,Stephen Cave
331,stuart_brown,8,0,Stuart Brown
332,julian_treasure,5,0,Julian Treasure
333,luis_von_ahn,1,0,Luis von Ahn
334,sasa_vucinic,3,0,Sasa Vucinic
335,david_christian,5,0,David Christian
336,laura_trice,0,4,Laura Trice
337,spencer_wells,1,0,Spencer Wells
338,zeynep_tufekci,0,0,Zeynep Tufekci
339,paul_zak,2,0,Paul Zak
340,paul_bennett,0,0,Paul Bennett
341,dan_berkenstock,2,0,Dan Berkenstock
342,birke_baehr,5,0,Birke Baehr
343,angela_belcher,0,1,Angela Belcher
344,rachel_armstrong,0,4,Rachel Armstrong
345,candy_chang,0,9,Candy Chang
346,marina_abramovic,0,3,Marina Abramović
347,nana_vasconcelos,4,0,Naná Vasconcelos
348,carolyn_bertozzi,0,1,Carolyn Bertozzi
349,caroline_casey,0,3,Caroline Casey
350,gus_casely_hayford,2,0,Gus Casely-Hayford
351,penelope_boston,0,3,Penelope Boston
352,john_underkoffler,1,0,John Underkoffler
353,ian_bremmer,6,0,Ian Bremmer
354,teitur,1,0,Teitur
355,michael_tilson_thomas,4,0,Michael Tilson Thomas
356,chris_bangle,2,0,Chris Bangle
357,jimmy_carter,3,0,Jimmy Carter
358,shukla_bose,0,1,Shukla Bose
359,marcus_byrne,1,0,Marcus Byrne
360,julie_burstein,0,4,Julie Burstein
361,cedric_villani,1,0,Cédric Villani
362,trevor_timm,4,0,Trevor Timm
363,peter_ward,4,0,Peter Ward
364,robert_waldinger,4,0,Robert Waldinger
365,tony_wyss_coray,4,0,Tony Wyss-Coray
366,adam_alter,1,0,Adam Alter
367,omar_ahmad,0,0,Omar Ahmad
368,gever_tulley,4,0,Gever Tulley
369,emilie_wapnick,0,2,Emilie Wapnick
370,gordon_brown,5,0,Gordon Brown
371,sebastian_thrun,4,0,Sebastian Thrun
372,martin_villeneuve,1,0,Martin Villeneuve
373,paul_tasner,2,0,Paul Tasner
374,amy_tan,0,7,Amy Tan
375,amanda_bennett,0,1,Amanda Bennett
376,richard_browning,1,0,Richard Browning
377,paul_bloom,9,0,Paul Bloom
378,daniel_tammet,5,0,Daniel Tammet
379,sharon_terry,0,4,Sharon Terry
380,uldus_bakhtiozina,0,5,Uldus Bakhtiozina
381,kare_anderson,0,2,Kare Anderson
382,matthew_childs,5,0,Matthew Childs
383,rory_bremner,6,0,Rory Bremner
384,john_bohannon,3,0,John Bohannon
385,ben_ambridge,4,0,Ben Ambridge
386,nadine_burke_harris_1,0,3,Nadine Burke Harris
387,kiran_bedhi,0,5,Kiran Bedi
388,yassmin_abdel_magied,0,10,Yassmin Abdel-Magied
389,arthur_brooks,3,0,Arthur Brooks
390,julia_bacha,0,3,Julia Bacha
391,rodrigo_canales,4,0,Rodrigo Canales
392,manoush_zomorodi,0,1,Manoush Zomorodi
393,bonnie_bassler,0,6,Bonnie Bassler
394,siddharthan_chandran,3,0,Siddharthan Chandran
395,siegfried_woldhek,12,0,Siegfried Woldhek
396,jose_antonio_abreu,0,0,José Antonio Abreu
397,harry_cliff,1,0,Harry Cliff
